GEO_NAME,city,% vaccinated,Vaccination_Pharmacies,Vaccination_Sites_Per_100000,minority - % visible minority,minority - % not visible minority,minority - % south asian,minority - % chinese,minority - % black,minority - % filipino,minority - % latin american,minority - % arab,minority - % southeast asian,minority - % west asian,minority - % korean,minority - % japanese,industry - % manufacturing,industry - % wholesale trade,industry - % transportation and warehousing,industry - % retail trade,industry - % information and cultural industries,industry - % construction,industry - % education services,industry - % health care and social services,industry - % accommodation and food services,"industry - % mining, quarrying and oil and gas extraction",industry - % utilities,"industry - % agriculture, forestry, fishing and hunting",industry - % finance and insurance,industry - % real estate and rental and leasing,"industry - % professional, technical and scientific enterprises",industry - % management of companies and enterprises,"industry - % administrative, support, waste management and remediation services","industry - % arts, entertainment and recreation",industry - % other services (except public administration),industry - % public administration,% english nor french,median individual income,average individual income,income - % in bottom decile,income - % in top decile,average age,median age,population,% commuting by car or truck as driver,% commuting by car or truck as passenger,% commuting by vehicle,% commuting by public transit,% commuting by walking,% commuting by bicycle,% commuting by other method,% leaving for work between 5am and 6am,% leaving for work between 6am and 7am,% leaving for work between 7am and 8am,% leaving for work between 8am and 9am,% leaving for work between 9am and 12pm,% leaving for work between 12pm and 5am,% first generation immigrants,% second generation immigrants,% third generation or more immigrants
K1B,OTTAWA,0.25,1.0,5.84,0.26417910447761195,0.7355223880597015,0.02298507462686567,0.016119402985074627,0.09940298507462686,0.01582089552238806,0.020298507462686566,0.049850746268656716,0.007761194029850746,0.011641791044776119,0.00208955223880597,0.00208955223880597,0.028773072747014114,0.021172638436482084,0.03745928338762215,0.13083604777415853,0.02008686210640608,0.05211726384364821,0.0749185667752443,0.10260586319218241,0.07600434310532031,0.0010857763300760044,0.003257328990228013,0.0027144408251900108,0.03311617806731813,0.011943539630836048,0.06297502714440825,0.0010857763300760044,0.057003257328990226,0.019543973941368076,0.05157437567861021,0.18946796959826276,0.010982487384980706,37569.0,46411.0,0.08197208197208197,0.09177309177309177,40.6,40.3,17110.0,0.5962962962962963,0.07037037037037037,0.07037037037037037,0.2641975308641975,0.046296296296296294,0.008641975308641974,0.014197530864197531,0.053703703703703705,0.18641975308641975,0.29506172839506173,0.21296296296296297,0.1154320987654321,0.13580246913580246,0.23611940298507464,0.19880597014925372,0.5650746268656717
K1C,ORLEANS,0.3339,5.0,13.28,0.19486139283299528,0.8051386071670047,0.024475997295469912,0.029885057471264367,0.055848546315077754,0.010547667342799188,0.009330628803245436,0.038269100743745774,0.005138607167004733,0.009465855307640297,0.000676132521974307,0.003786342123056119,0.02464268112370626,0.018728437654016758,0.026860522424839824,0.10645638245441104,0.02094627895515032,0.037703302119270574,0.08920650566781665,0.11655988171513061,0.05914243469689502,0.0004928536224741252,0.001971414489896501,0.001971414489896501,0.043617545588960076,0.016017742730409068,0.0810744208969936,0.0009857072449482504,0.03499260719566289,0.01724987678659438,0.03967471660916708,0.24149827501232135,0.006457688685591282,47460.0,56360.0,0.039528902125355356,0.16434276431568973,42.8,45.4,37662.0,0.6590649942987458,0.05815279361459521,0.05815279361459521,0.2377423033067275,0.02594070695553022,0.009122006841505131,0.009977194982896237,0.0476054732041049,0.2063854047890536,0.31014823261117447,0.2120866590649943,0.1040478905359179,0.11944127708095781,0.18837052062204193,0.1786342123056119,0.633130493576741
K1E,ORLEANS,0.34,0.0,0.0,0.12947189097103917,0.8701873935264055,0.013287904599659284,0.012606473594548553,0.05383304940374787,0.008858603066439524,0.009880749574105622,0.011584327086882453,0.0068143100511073255,0.0020442930153321977,0.0006814310051107325,0.0034071550255536627,0.022181146025878003,0.01725200246457178,0.033887861983980284,0.11583487369069624,0.021565003080714726,0.05730129390018484,0.07578558225508318,0.13247073321010475,0.04867529266789895,0.0012322858903265558,0.0012322858903265558,0.0018484288354898336,0.036352433764633395,0.019716574245224893,0.0751694393099199,0.0012322858903265558,0.04374614910659273,0.014171287738755391,0.04251386321626617,0.22119531731361675,0.004744154523890207,45629.0,52081.0,0.030622660768969037,0.12078938414426675,43.2,46.2,14803.0,0.6437587657784011,0.07152875175315568,0.07152875175315568,0.24333800841514727,0.029453015427769985,0.0070126227208976155,0.005610098176718092,0.0638148667601683,0.24544179523141654,0.30995792426367463,0.15778401122019636,0.08906030855539972,0.13464235624123422,0.13492333901192505,0.15468483816013628,0.7103918228279387
K1G,OTTAWA,0.2582,2.0,5.87,0.38101705145616416,0.6191338463859967,0.045571148332578845,0.045420250490417986,0.10668477440772597,0.018560434585785424,0.016598762637694282,0.1062320808812434,0.009506564056133997,0.01508978421608571,0.0022634676324128564,0.0028670590010562848,0.02930298719772404,0.02332859174964438,0.040682788051209104,0.1112375533428165,0.023897581792318635,0.03499288762446657,0.09046941678520626,0.12347083926031295,0.0716927453769559,0.0005689900426742532,0.0025604551920341396,0.002275960170697013,0.02759601706970128,0.01337126600284495,0.07311522048364154,0.0005689900426742532,0.042105263157894736,0.01906116642958748,0.042389758179231865,0.18236130867709816,0.017878605769230768,32948.0,44585.0,0.1676222088111044,0.1075739287869644,41.2,39.2,34075.0,0.5701281186783547,0.059002022926500336,0.059002022926500336,0.26871207012811865,0.05967633175994606,0.028658125421443022,0.013486176668914362,0.044856661045531196,0.13726812816188871,0.2782462057335582,0.26138279932546377,0.12681281618887016,0.15143338954468802,0.34359438660027164,0.2254413761883205,0.43096423721140786
K1H,OTTAWA,0.3673,4.0,25.32,0.23113964686998395,0.7691813804173355,0.03210272873194221,0.043659711075441414,0.05489566613162119,0.007383627608346709,0.005778491171749599,0.05232744783306581,0.006420545746388443,0.011556982343499198,0.0032102728731942215,0.004815409309791332,0.022106631989596878,0.015604681404421327,0.02990897269180754,0.08322496749024708,0.0305591677503251,0.03706111833550065,0.1046814044213264,0.13198959687906373,0.05006501950585176,0.0,0.0019505851755526658,0.0019505851755526658,0.033810143042912875,0.024057217165149546,0.1046814044213264,0.0019505851755526658,0.0305591677503251,0.021456436931079324,0.04031209362808843,0.21716514954486346,0.012432260121134842,44739.0,64217.0,0.10833333333333334,0.25256410256410255,44.1,45.7,15796.0,0.605568445475638,0.061871616395978345,0.061871616395978345,0.19721577726218098,0.06805877803557618,0.05259087393658159,0.013147718484145398,0.027842227378190254,0.10750193348801237,0.317092034029389,0.32018561484918795,0.12219644238205724,0.10518174787316319,0.28507223113964686,0.23146067415730337,0.4837881219903692
K1J,OTTAWA,0.2655,4.0,14.85,0.3332698533612645,0.6667301466387355,0.04818129880022853,0.038468863073700246,0.10855075223766901,0.026471148352694724,0.01637783279375357,0.05351361645400876,0.011426394972386213,0.013711673966863454,0.0020948390782708055,0.0011426394972386211,0.023106060606060606,0.015151515151515152,0.029924242424242423,0.10643939393939394,0.02159090909090909,0.0428030303030303,0.07727272727272727,0.12007575757575757,0.0731060606060606,0.0011363636363636363,0.0,0.0022727272727272726,0.03484848484848485,0.019318181818181818,0.07462121212121212,0.0,0.05795454545454545,0.01893939393939394,0.04090909090909091,0.20681818181818182,0.03099448564365849,38187.0,50537.0,0.11820781696854146,0.12659675881792182,42.5,43.3,26931.0,0.582963620230701,0.05723158828748891,0.05723158828748891,0.27684117125110913,0.05368234250221828,0.019520851818988466,0.009760425909494233,0.04571682201509099,0.17265867731913004,0.29027962716378164,0.24056813138038172,0.11229471815357302,0.1384820239680426,0.32450961721576843,0.18834507712816606,0.48733574557227194
K1K,OTTAWA,0.2579,3.0,10.17,0.3172858887144601,0.6828885400313972,0.026164311878597593,0.0141287284144427,0.15088086516657945,0.020931449502878074,0.013431013431013432,0.0575614861329147,0.008895866038723181,0.009942438513867086,0.0034885749171463458,0.0013954299668585382,0.02120141342756184,0.018374558303886925,0.03816254416961131,0.10247349823321555,0.0215547703180212,0.042756183745583036,0.08021201413427562,0.11060070671378092,0.08021201413427562,0.0010600706713780918,0.0010600706713780918,0.0021201413427561835,0.033215547703180213,0.01696113074204947,0.06678445229681979,0.0007067137809187279,0.06607773851590105,0.01625441696113074,0.04840989399293286,0.18763250883392227,0.015010351966873706,30935.0,41531.0,0.17856522494354699,0.08216084766371375,42.7,43.3,29499.0,0.5118143459915612,0.06666666666666667,0.06666666666666667,0.28565400843881855,0.07383966244725738,0.04430379746835443,0.017721518987341773,0.05358649789029536,0.16666666666666666,0.2683544303797468,0.23924050632911392,0.11265822784810127,0.15949367088607594,0.2936867806069062,0.18573421695151726,0.5205790024415765
K1L,OTTAWA,0.2334,1.0,5.88,0.18173706127305175,0.8185603807257584,0.013682331945270671,0.01041046995835812,0.08536585365853659,0.011600237953599048,0.019928613920285543,0.022308149910767402,0.006841165972635336,0.003271861986912552,0.000594883997620464,0.002676977989292088,0.023127753303964757,0.02092511013215859,0.03303964757709251,0.08755506607929515,0.021475770925110133,0.054515418502202644,0.07433920704845814,0.11398678414096916,0.09691629955947137,0.0016519823788546256,0.003303964757709251,0.0016519823788546256,0.022026431718061675,0.012114537444933921,0.06332599118942732,0.0011013215859030838,0.07874449339207049,0.02092511013215859,0.05011013215859031,0.177863436123348,0.010898379970544918,30644.0,41104.0,0.21018160166716285,0.07264066686513844,44.0,43.5,17021.0,0.486592544146501,0.052975801177240024,0.052975801177240024,0.2949640287769784,0.1066056245912361,0.04970568999345978,0.009156311314584695,0.05431937172774869,0.17146596858638743,0.27159685863874344,0.2369109947643979,0.1106020942408377,0.1551047120418848,0.20428189116859946,0.1400535236396075,0.655367231638418
K1M,OTTAWA,0.3667,0.0,0.0,0.14163424124513618,0.8583657587548638,0.026459143968871595,0.038910505836575876,0.01634241245136187,0.007003891050583658,0.012451361867704281,0.007003891050583658,0.0015564202334630351,0.0023346303501945525,0.0038910505836575876,0.014007782101167316,0.01907356948228883,0.009536784741144414,0.006811989100817439,0.055858310626702996,0.03678474114441417,0.02861035422343324,0.11444141689373297,0.08583106267029973,0.039509536784741145,0.0,0.0,0.0027247956403269754,0.043596730245231606,0.027247956403269755,0.1553133514986376,0.004087193460490463,0.027247956403269755,0.0340599455040872,0.055858310626702996,0.24659400544959129,0.003032600454890068,64333.0,108168.0,0.07789142407553108,0.4020456333595594,46.3,48.4,6695.0,0.5016447368421053,0.0625,0.0625,0.17598684210526316,0.14638157894736842,0.09046052631578948,0.02138157894736842,0.01644736842105263,0.07894736842105263,0.2713815789473684,0.4029605263157895,0.16282894736842105,0.06743421052631579,0.28171206225680934,0.22568093385214008,0.4926070038910506
K1N,OTTAWA,0.2427,1.0,3.99,0.28399122807017546,0.7162280701754385,0.03223684210526316,0.041008771929824564,0.11754385964912281,0.005043859649122807,0.014473684210526316,0.03070175438596491,0.009210526315789473,0.009868421052631578,0.006798245614035088,0.0028508771929824563,0.01948051948051948,0.011904761904761904,0.015512265512265512,0.09307359307359307,0.027777777777777776,0.02922077922077922,0.09271284271284272,0.08513708513708514,0.09523809523809523,0.0007215007215007215,0.0021645021645021645,0.002886002886002886,0.027056277056277056,0.01984126984126984,0.09415584415584416,0.0010822510822510823,0.04004329004329004,0.029942279942279944,0.045454545454545456,0.23088023088023088,0.01066010660106601,30299.0,47441.0,0.26162280701754387,0.12850877192982457,39.9,34.3,25063.0,0.2648221343873518,0.030742204655248132,0.030742204655248132,0.27624066754501536,0.35090030742204653,0.06104523495827844,0.015810276679841896,0.027228809837505488,0.09134826526130874,0.23583662714097497,0.3359683794466403,0.15634606938954765,0.152832674571805,0.29028721771541327,0.21223415917561939,0.4972593729445297
